food,category,serving_size,fullness_factor,completeness_score,calories,total_carbs,dietary_fibre,starch,sugars,total_fat,saturated_fat,monosaturated_fat,polysaturated_fat,protien,water,source
"Animal fat, bacon grease",fats and oils,100,0.5,0,896.0477,0,0,0,0,99.49475,39.005146,44.86934,11.14308,0,0,https://nutritiondata.self.com/facts/fats-and-oils/7186/0
"Apple cider-flavored drink, powder, added vitamin C and sugar",beverages,100,1.3,18,394.9846,98.79408,0.10000421,0,80.953156,0,0,0,0,0,0.29997736,https://nutritiondata.self.com/facts/beverages/7674/0
"Apple cider-flavored drink, powder, low calorie, with vitamin C, prepared",beverages,100,4.5,17,1.0000149,0.29997736,0,0,0,0,0,0,0,0,99.68671,https://nutritiondata.self.com/facts/beverages/7681/0
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",fruits and fruit juices,100,3.5,21,45.993046,11.301712,0.19998784,0,9.621506,0.12997942,0.022001525,0.006000858,0.03899381,0.10000421,88.231346,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2075/0
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",fruits and fruit juices,100,3.5,16,45.993046,11.301712,0.19998784,0,9.621506,0.12997942,0.022001525,0.006000858,0.03899381,0.10000421,88.231346,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1822/0
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",fruits and fruit juices,100,3.4,15,46.99369,11.540195,0.10000421,0,10.930346,0.10000421,0.017999765,0.002000019,0.031001687,0.13997783,87.89188,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1824/0
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",fruits and fruit juices,100,3.4,22,46.99369,11.540195,0.10000421,0,0,0.10000421,0.017999765,0.002000019,0.031001687,0.13997783,87.89188,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2086/0
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",fruits and fruit juices,100,1.8,21,165.97446,40.99647,0,0,38.830116,0.36998367,0.059997056,0.014999647,0.10799419,0.5100298,57.00155,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2085/0
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",fruits and fruit juices,100,1.8,15,165.97446,40.99647,0.399974,0,38.830116,0.36998367,0.059997056,0.014999647,0.10799419,0.5100298,57.00155,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1823/0
"Apples, canned, sweetened, sliced, drained, heated",fruits and fruit juices,100,2.8,21,66.99792,16.840712,1.9998937,0,14.840817,0.43002847,0.07000633,0.017001577,0.12600186,0.18000458,82.290344,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1814/0
"Apples, canned, sweetened, sliced, drained, unheated",fruits and fruit juices,100,2.8,21,66.99792,16.699251,1.7002631,0,14.998988,0.49007404,0.08000208,0.02000271,0.14401993,0.18000458,82.36969,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1813/0
"Apples, dehydrated (low moisture), sulfured, stewed",fruits and fruit juices,100,2.7,21,73.98957,19.912092,2.600379,0,0,0.11998849,0.02000271,0.005000487,0.036002528,0.27998212,79.35678,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1816/0
"Apples, dehydrated (low moisture), sulfured, uncooked",fruits and fruit juices,100,1.9,21,346.02054,93.54358,12.401265,0,81.1354,0.5799125,0.095005676,0.023997106,0.17099169,1.3198018,3.0001352,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1815/0
"Apples, dried, sulfured, stewed, with added sugar",fruits and fruit juices,100,2.5,17,83.00719,20.727957,1.9002618,0,0,0.07000633,0.011001872,0.003000598,0.02000271,0.19998784,78.77262,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1819/0
"Apples, dried, sulfured, stewed, without added sugar",fruits and fruit juices,100,3.1,23,57.00155,15.320404,1.9998937,0,13.318019,0.07000633,0.012001306,0.003000598,0.022001525,0.21996589,84.134705,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1818/0
"Apples, dried, sulfured, uncooked",fruits and fruit juices,100,1.9,22,243.0191,65.888054,8.70105,0,57.184956,0.31994882,0.052008193,0.012998266,0.09299165,0.9299177,31.756525,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1817/0
"Apples, frozen, unsweetened, heated",fruits and fruit juices,100,3.4,24,46.99369,12.00148,1.9002618,0,0,0.33000058,0.053005077,0.012998266,0.095005676,0.28999484,87.16085,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1821/0
"Apples, frozen, unsweetened, unheated",fruits and fruit juices,100,3.4,23,48.000683,12.309971,1.9002618,0,0,0.31994882,0.053005077,0.012998266,0.095005676,0.27998212,86.8534,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1820/0
"Apples, raw, with skin [Includes USDA commodity food A343]",fruits and fruit juices,100,3.3,32,51.997932,13.810373,2.399635,0.050003715,10.389371,0.17000008,0.02799635,0.006999225,0.050996296,0.2599705,85.551926,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1809/0
"Apples, raw, without skin",fruits and fruit juices,100,3.4,30,48.000683,12.760961,1.3000101,0,10.099763,0.12997942,0.020997066,0.005000487,0.037002373,0.26996553,86.65832,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1810/0
"Apples, raw, without skin, cooked, boiled",fruits and fruit juices,100,3.2,23,52.992855,13.638422,2.399635,0,11.011409,0.35999107,0.05799291,0.013999227,0.10400747,0.2599705,85.46951,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1811/0
"Apples, raw, without skin, cooked, microwave",fruits and fruit juices,100,3.1,23,56.00328,14.410708,2.799857,0,11.610852,0.4200384,0.06800502,0.017001577,0.12198696,0.27998212,84.622604,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1812/0
"Applesauce, canned, sweetened, with salt",fruits and fruit juices,100,2.6,18,75.98887,19.912092,1.1999991,0,0,0.18000458,0.029999979,0.006999225,0.054003034,0.18000458,79.58655,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2077/0
"Applesauce, canned, sweetened, without salt (includes USDA commodity) [Includes USDA commodity code A350]",fruits and fruit juices,100,2.8,17,67.99529,17.48847,1.1999991,0,14.670169,0.17000008,0.029999979,0.006999225,0.054003034,0.1599787,81.97374,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1826/0
"Applesauce, canned, unsweetened, with added ascorbic acid",fruits and fruit juices,100,3.7,32,41.996197,11.269081,1.0998687,0,9.389428,0.10000421,0.008000115,0.002000019,0.013999227,0.17000008,88.231346,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2076/0
"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity) [Includes USDA commodity codes A350, A351]",fruits and fruit juices,100,3.7,27,41.996197,11.269081,1.0998687,0,9.389428,0.10000421,0.008000115,0.002000019,0.013999227,0.17000008,88.231346,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1825/0
"Apricot nectar, canned, with added ascorbic acid",fruits and fruit juices,100,3.1,35,56.00328,14.390104,0.6000336,0,0,0.08999106,0.006000858,0.038004167,0.017001577,0.36998367,84.867615,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2078/0
"Apricot nectar, canned, without added ascorbic acid",fruits and fruit juices,100,3.1,29,56.00328,14.390104,0.6000336,0,13.788208,0.08999106,0.006000858,0.038004167,0.017001577,0.36998367,84.867615,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1842/0
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",fruits and fruit juices,100,2.4,28,96.009544,24.853245,1.6000471,0,0,0.03999539,0.003000598,0.017001577,0.008000115,0.54992384,74.323074,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1835/0
"Apricots, canned, extra light syrup pack, with skin, solids and liquids",fruits and fruit juices,100,3.4,44,48.99776,12.501267,1.6000471,0,0,0.10000421,0.006999225,0.042997424,0.02000271,0.6000336,86.29718,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1831/0
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",fruits and fruit juices,100,2.5,33,83.00719,21.467411,1.6000471,0,19.867365,0.08000208,0.005000487,0.0330048,0.014999647,0.529943,77.56731,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1833/0
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",fruits and fruit juices,100,2.5,31,83.00719,21.452839,1.6000471,0,0,0.08999106,0.006000858,0.037002373,0.017001577,0.5100298,77.667046,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1834/0
"Apricots, canned, heavy syrup, drained",fruits and fruit juices,100,2.6,36,83.00719,21.349003,2.7000108,0,18.648993,0.11000829,0.006999225,0.04500649,0.020997066,0.63991547,77.56731,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/7342/0
"Apricots, canned, juice pack, with skin, solids and liquids",fruits and fruit juices,100,3.4,50,48.000683,12.341649,1.6000471,0,10.738908,0.03999539,0.003000598,0.017001577,0.006999225,0.6299061,86.630486,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1830/0
